,Minimum wage,Annual,Annual,Workweek (hours)[4],Hourly,Hourly,Percent of GDP per capita[5],Effective per
"('Poland',)","4,666zł (US$1209) per month, or 30.5zł (US$7.9) per hour is the minimum wage in Poland.[187][18]",14506.0,29783.0,40,6.97,14.32,108.8%,1 Jan 2025
"('Portugal',)","€956.66 per month (US$828) in 12 payments; €820 per month (US$710) in 14 payments for full-time workers, rural workers, and domestic employees ages 18 and older.[188][36]",11638.0,14471.0,40,5.6,6.96,47.2%,1 Jan 2024
"('Qatar',)","Minimum wage in Qatar is 8,800 Qar 2,415 USD per month",,,48,,,,2025
"('Romania',)","RON 4,050 (US$915) per month; else RON 24.55 (US$5.5) per hour for a full-time schedule of 165 hours per month is the minimum wage in Romania.[189]",11683.0,25714.0,40,5.62,12.36,111.7%,1 Jan 2025
"('Russia',)","22,440₽ (US$288,13) (Federal, in some territories more, for example, 32,916₽ (US$422,68) in Moscow)[190]",3656.0,10823.0,40,1.76,5.2,43.7%,1 Jan 2025
"('Rwanda',)","None; ranges from FRw 500 to FRw 1,000 (US$0.83 to US$1.66) per day in the tea industry and FRw 1,500 to FRw 5,000 (US$2.50 to US$8.30) per day in the construction industry.[10]",,,45,,,,2013
"('Saint Kitts and Nevis',)",EC$9 per hour.[10][191][192],6933.0,9087.0,40[193],3.33,4.37,34.4%,1 Nov 2014
"('Saint Lucia',)",Minimum wage for some sectors; EC$300 (US$111) per month for office clerks; EC$200 (US$74) for shop assistants; EC$160 (US$59) for messengers.[10],,,40,,,,2013
"('Saint Vincent and the Grenadines',)","Set sector by sector; for example, EC$56 ($20.74) per day for agriculture workers (shelter not provided); EC$40 (US$14.81) per day for industrial workers; and EC$25 per day for household domestic workers.[10][194][195]",2407.0,3351.0,40,1.16,1.61,29.2%,1 July 2008
"('Samoa',)",WS$2 (US$0.89) per hour for the private sector; WS$2.65 (US$1.18) for the public sector.[10],1625.0,2237.0,40,0.78,1.08,35.1%,2012
"('San Marino',)",€1501.49 (US$1735) per month; or €9.24 (US$10) per hour for the lowest paying industry[196][10][197],21310.0,23400.0,37.5[198],10.93,12.0,38.4%,1 Jan 2017
"('São Tomé and Príncipe',)","None; Db 750,000 (US$40) per month for civil servants[77]",,,,,,,2013
"('Saudi Arabia',)","ر.س 4,000 (US$1066,66) per month for public sector; does not apply to foreign workers. There are no minimum wage in private sector.[10][199]",12800.0,24742.0,48,5.13,9.91,45.5%,2 Feb 2013
"('Senegal',)",CFA 209.1 (US$0.42) per hour for general workers and CFA 182.95 (US$0.37) per hour for agricultural workers.[10][18][200],686.0,1617.0,40,0.33,0.78,63%,1 Jan 1996
"('Serbia',)","din. 53,915 (460eu or $510) monthly.[201]",3610.0,7291.0,40,1.74,3.51,50.2%,1 Jan 2022
"('Seychelles',)",SR 26/70 (US$1.9) per hour for all workers other than casual workers; SR 30/78 (US$2.1) per hour for casual workers.[10][202][203],3282.0,6435.0,40[204],1.58,3.09,22.7%,1 Jan 2014
"('Sierra Leone',)","Le 500,000 (US$57) per month.[10][205][206][207]",575.0,2602.0,40,0.28,1.25,176.2%,1 Jan 2015
"('Singapore',)","None.[10] However, two exceptions: 1) Cleaner jobs to have a minimum wage of S$1,200 (US$860) per month effective July 2019.[208] 2) Security guards to have a minimum wage of S$1,100 ($802) per month effective Sep 2016.[209]",,,44,,,,2019
"('Slovakia',)","€700 (US$828) per month, or €4.03 (US$4.77) per hour.[18][210]",9914.0,15241.0,40,4.77,7.33,50%,1 Jan 2023
"('Slovenia',)",€1203.36 (US$1423) per month.[18][36][211],17079.0,21553.0,40,8.21,10.36,65.9%,1 Jan 2023
"('Solomon Islands',)","SI$4 (US$0.55) per hour for all workers except those in the fishing and agricultural sectors, who received SI$3.2 per hour.[10]",933.0,955.0,45,0.4,0.41,42.7%,1 May 2008
"('Somalia',)",None.[10],,,48,,,,2013
"('South Africa',)","R 23.19 (US$1.34) per hour for all workers, except for Expanded Public Works Programme workers who have a minimum of R 12.75 (US$0.74).[212]",3671.0,10316.0,45,1.57,4.41,78.2%,1 Mar 2022
"('South Sudan',)",None.[213],,,,,,,2011
"('Spain',)","€1,260 (US$1455) per month in 12 payments, €1,080 (US$1277) per month in 14 payments.[214]",17457.0,19946.0,40,8.39,9.59,54.9%,1 Jan 2023
"('Sri Lanka',)","රු.10,000 (US$70.75) per month.The minimum wages are set according to National Minimum Wage of Workers Act, No. 3 of 2016[18]",603.0,2414.0,48,0.24,0.97,19.6%,1 Jan 2016
"('Sudan',)",ج.س. 425 (US$0.95 as of Aug 2021) per month.[215] See Minimum wage in Sudan.,13.0,1087.0,40,0.01,0.52,23%,2013
"('Suriname',)",None; SR$20 (US$0.66) per hour for household domestics and shop assistants; the Ministry of Labour recommends all other sectors use this as the de facto minimum wage. .,,,40,,,,2022
"('Sweden',)","None; in Sweden the law provides for the right of workers to form and join independent unions to bargain wages collectively, and it prohibits antiunion discrimination.[10]",,,40,,,,2017
"('Switzerland',)","As of 2024, three cantons have official minimum salaries: CHF 20.6 (US$22.64) per hour in the canton of Jura; CHF 21.09 (US$23.18) per hour in the canton of Neuchâtel, CHF 24.32 (US$26.73) in the canton of Geneva;[216] the rest of the country has no minimum wage.[217] There are a minority of the voluntary General Labour Contracts (GLC, collective labour agreements), reached on a sector-by-sector basis,[218] contain minimum compensation clauses, which provide for compensation ranging from CHF 2,200 to CHF 4,200 (US$2418 to US$4615) per month for unskilled workers and CHF 2,800 to CHF 5,300 (US$3077 to US$5824) per month for skilled employees.[10] On 18 May 2014, Swiss voters rejected a federal initiative (by 76.3%) that would have enforced GLCs for every sector and set the hourly minimum wage at CHF 22 (US$24.18, or PPP-adjusted US$12.55).[219][220]",,,41.7[221][222],,,,2014
"('Syria',)","£S 9,765 to £S 14,760 (US$6–US$10)(adjusted for inflation) per month, plus benefits, including compensation for meals, uniforms, and transportation.[77]",96.0,2850.0,40,0.4,1.37,54%,2013
"('Taiwan',)","NT$28,590 (c.US$872) per month; NT$190 (US$5.8) per hour is the minimum wage in Taiwan.[223]",11973.0,23432.0,40,5.76,11.27,33.7%,1 Jan 2025
"('Tajikistan',)",,1061.0,5150.0,40,0.51,2.48,172.9%,1 Sep 2025
"('Tanzania',)","Varies by sector from TSh 40,000/= (US$17) per month, to TSh 400,000/= (US$174) per month.[10][18]",209.0,593.0,45[224],0.09,0.25,21.3%,1 July 2013
"('Thailand',)","Ranges from ฿328 to ฿354 (US$9.01–US$9.72) per day and up, depending on the cost of living in various provinces; set by provincial tripartite wage committees that sometimes include only employer representatives.[225]",3733.0,9313.0,48,1.5,3.73,55.1%,1 Jan 2023
"('Timor-Leste',)",US$115 per month.[10][226],1380.0,2123.0,44,0.6,0.93,99.2%,22 June 2012
"('Togo',)","CFA 35,000 (US$70) per month.[10][18]",757.0,1796.0,40,0.36,0.86,120.5%,1 Jan 2012
"('Tonga',)",None[10],,,40,,,,2013
"('Trinidad and Tobago',)",TT$15 (US$2.22) per hour;[227] (US$53) per month,4615.0,5503.0,40,2.22,2.65,16.7%,1 Jan 2015
"('Tunisia',)",For the industrial sector: د.ت 465 (US$166) per month for a 48-hour workweek and د.ت 401 (US$143) per month for a 40‑hour workweek.[228],2000.0,6723.0,48,0.8,2.69,58%,2020
"('Turkey',)","net monthly 22,104₺ (561 dollars)[229]",8040.0,41887.0,45,5.88[230],,,1 January 2025
"('Tuvalu',)","None; the minimum annual salary in the public sector was approximately $A 3,000 to $A 4,000 (US$3,120 to US$4,160).[10]",,,,,,,2013
"('Uganda',)","USh 130,000/= (US$34.58) per month.[10][18][41]",426.0,1298.0,40,0.2,0.62,71.3%,1 July 2017
"('Ukraine',)","₴6,700 (US$183.21) per month,  ₴40.46 (US$1.11) per hour,  annual wage US$2,870[18][231]",2946.0,13604.0,40,1.42,6.54,164.5%,1 July 2023
"('United Arab Emirates',)",No mandated wage.,,,48 (reduced during Ramadan),,,,4 April 2025
"('United Kingdom',)","The minimum wage in the United Kingdom is: £12.21 stg (US$16.73) per hour for those aged 21+ £10.00 (US$13.7) per hour for those aged 18–20  £7.55 (US$10.34) per hour aged under 18, and those aged 19 or over who are in their first year of apprenticeship.[232] Workers under the school leaving age (usually 16, however varies by region) are not eligible for national minimum wage, as well as certain specialised industries and job roles. [233]",34790.0,31746.0,40,16.73,15.26,74.4%,1 Apr 2025
"('United States',)","The federal nationwide minimum wage in the United States is US$7.25 per hour.[234] States may also set a minimum, in which case the higher of the two is controlling; some territories are exempt and have lower rates.[234] As of January 3, 2022, effective state minimum wage rates range from US$7.25 to US$16.66 per hour, with an average of about $12.00 across all minimum wage workers as of 2019.[235][236][237] Local government minimum wages exist as well, the highest of which reach to $17.13 per hour.[238]",15080.0,15080.0,40,7.25,7.25,26.2%,1 Jan 2025
"('Uruguay',)","$U 22,268 (US$507) per month.[239]",6136.0,11405.0,48,2.46,4.57,52.8%,2024
"('Uzbekistan',)","UZS 920,000 (US$71) per month.[240]",1041.0,8591.0,40,0.5,4.13,131.9%,1 June 2022
"('Vanuatu',)","VT 30,000 (US$323) per month, VT 170 per hour.[10][241]",3240.0,3041.0,40,1.56,1.46,98.7%,20 Aug 2012
"('Venezuela',)","The minimum wage in Venezuela is Bs. 400,000 per month, including a food bond the total raises up to Bs. 800,000, which is equivalent to about US$0.86 as 26 Nov 2020.[242][243][244]",10.32,,,,,,1 May 2020
"('Vietnam',)","Varies by region; Region I: ₫4,420,000 per month; Region II: ₫3,920,000 per month; Region III: ₫3,430,000 per month and Region IV: ₫3,070,000 per month.[245]",1591.0,4089.0,40,0.76,1.97,65%,1 Jan 2020
"('Yemen',)","None; the minimum civil service wage was ﷼21,000 ($100) per month.",,,48,,,,2013
"('Zambia',)","Varies by sector; ZMW 993.6 (US$81) per month for domestic workers. Shop workers' minimum wage is ZMW 1,698.6 with transport, lunch and housing allowances inclusive, and wages increasing according to the grades of employees, with the minimum wage of the highest grade in this category being ZMW 3,558.9. In the general workers' category, which includes receptionists and guards among others, the minimum wage for category one workers is ZMW 1,698.6, while the highest category is at ZMW 3,151.61.[246]",596.0,3180.0,48,0.24,1.27,80.8%,10 Sep 2018
"('Zimbabwe',)","None, except for agricultural and domestic workers; government regulations for each of the 22 industrial sectors specify minimum wages. The minimum wage for all mine workers is currently pegged at $227 per month.[119]",,,,,,,2012
